OBJECTID,GlobalID,Uniq_Id,State_Code,District_C,Tehsil_Cod,Block_Code,Village_Co,LGD_Code,Built_Up_A,Village_Na,Area_Desc,Name,Owner_Name,Property_I,Property_C,Area_Sqm,Roof_type,No_Floors,Remarks,Adl_Info,SHAPE_Leng,SHAPE_Area,GP_Code,GP_Name
"57766",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,61.73352325540,"1","1",,,38.62342839220,80.29399280330,"63317",KALONDA
"57767",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,2.19965941656,"1","2",,,7.07773244554,2.86099029571,"63317",KALONDA
"57768",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,18.90667415240,"1","1",,,22.99835847610,24.59107032840,"63317",KALONDA
"57769",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,4.48826382476,"1","2",,,9.78074530288,5.83769945063,"63317",KALONDA
"57770",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,21.77506925690,"1","1",,,24.41743071000,28.32193531720,"63317",KALONDA
"57771",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,21.36886147740,"1","1",,,26.50972178220,27.79364769740,"63317",KALONDA
"57772",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,77.19785808510,"1","1",,,47.77655549980,100.40858620700,"63317",KALONDA
"57773",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,5.96547852233,"1","2",,,11.15616284340,7.75911946257,"63317",KALONDA
"57774",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","8",Kalonda,,,,,,11.64935846050,"1","1",,,23.40745736110,15.15209686970,"63317",KALONDA
"57775",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","8",Kalonda,,,,,,16.81119059510,"1","1",,,21.12507434430,21.86598430080,"63317",KALONDA
"57776",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,49.43408556830,"1","1",,,38.00559571890,64.29803435890,"63317",KALONDA
"57777",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","8",Kalonda,,,,,,23.28126456190,"1","3",,,22.04667044880,30.28149206140,"63317",KALONDA
"57778",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","8",Kalonda,,,,,,55.59983959730,"1","2",,,68.27654356060,72.31762632370,"63317",KALONDA
"57779",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,21.56623510050,"1","1",,,29.52703538610,28.05040442900,"63317",KALONDA
"57780",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,32.91786569710,"1","1",,,28.09634372230,42.81493597750,"63317",KALONDA
